action="None",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:08:57",dest_ip="",dest_port="",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Started",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="0",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="",source_ip="",source_port="",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:08:58",dest_ip="10.59.141.18",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="62",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="58793",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:08:58",dest_ip="10.59.141.18",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="67",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="35131",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:08:58",dest_ip="10.59.141.18",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="63",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="57836",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:08:59",dest_ip="10.59.141.18",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="60",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="38069",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:08:59",dest_ip="10.59.141.18",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="66",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="47653",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:08:59",dest_ip="10.59.141.18",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="58",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="54836",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:08:59",dest_ip="10.59.141.18",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="56",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="35137",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:09:00",dest_ip="10.59.141.18",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="65",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="52771",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:09:00",dest_ip="10.59.141.18",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="70",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="58893",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="Device",date_time="Dec 19 2017 09:09:00",dest_ip="10.59.141.18",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="267481762",dos_attack_name="DNS A Query",dos_packets_dropped="0",dos_packets_received="56",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, Device-Wide attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="44467",vlan="/Common/external"
