action="None",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:25",dest_ip="",dest_port="",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Started",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="0",dos_packets_received="0",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="",source_ip="",source_port="",vlan=""
action="Drop",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:26",dest_ip="10.59.141.14",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Sampled",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="45078",dos_packets_received="45079",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="69.72.70.81",source_port="12666",vlan="/Common/external"
action="Drop",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:26",dest_ip="10.59.141.14",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Sampled",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="44671",dos_packets_received="44673",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="64.1.131.202",source_port="12927",vlan="/Common/external"
action="Drop",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:26",dest_ip="10.59.141.14",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Sampled",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="44821",dos_packets_received="44822",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="33.219.40.170",source_port="14207",vlan="/Common/external"
action="Drop",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:26",dest_ip="10.59.141.14",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Sampled",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="44574",dos_packets_received="44575",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="22.196.73.73",source_port="18578",vlan="/Common/external"
action="Drop",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:27",dest_ip="10.59.141.14",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Sampled",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="34863",dos_packets_received="34864",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="25.241.82.203",source_port="28562",vlan="/Common/external"
action="Drop",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:27",dest_ip="10.59.141.14",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Sampled",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="34790",dos_packets_received="34792",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="212.142.80.135",source_port="28764",vlan="/Common/external"
action="Drop",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:27",dest_ip="10.59.141.14",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Sampled",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="34756",dos_packets_received="34757",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="67.82.42.30",source_port="29825",vlan="/Common/external"
action="Drop",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:27",dest_ip="10.59.141.14",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Sampled",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="34753",dos_packets_received="34754",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="117.25.50.23",source_port="33142",vlan="/Common/external"
action="Drop",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:28",dest_ip="10.59.141.14",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Sampled",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="32467",dos_packets_received="32468",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="72.245.17.23",source_port="33419",vlan="/Common/external"
action="Drop",hostname="ruthwik-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.224",context_name="/Common/vip1_rick",date_time="Apr 06 2018 15:49:28",dest_ip="10.59.141.14",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="14.0.0.0.0.1869",dos_attack_event="Attack Sampled",dos_attack_id="1226145471",dos_attack_name="TCP SYN flood",dos_packets_dropped="32254",dos_packets_received="32256",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="135.156.197.30",source_port="33693",vlan="/Common/external"
