action="None",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:31",dest_ip="",dest_port="",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Started",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="0",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="",source_ip="",source_port="",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:32",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9960",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="5.16.167.8",source_port="49121",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:32",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9904",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="38.158.92.211",source_port="49252",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:32",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9711",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="185.105.55.178",source_port="49464",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:32",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9919",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="215.11.102.49",source_port="49895",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:33",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9916",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="82.107.131.132",source_port="18421",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:33",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9789",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="62.57.126.91",source_port="18645",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:33",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9401",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="106.62.236.57",source_port="18722",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:33",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="9761",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="48.205.131.69",source_port="19065",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:34",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10032",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="130.212.192.49",source_port="44851",vlan="/Common/external"
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vip1",date_time="Nov 15 2017 08:49:34",dest_ip="10.59.141.18",dest_port="80",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.0.0.1867",dos_attack_event="Attack Sampled",dos_attack_id="603795236",dos_attack_name="TCP SYN Oversize",dos_packets_dropped="0",dos_packets_received="10079",errdefs_msgno="23003138",errdefs_msg_name="Network DoS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="113.192.105.200",source_port="45089",vlan="/Common/external"
