action="None",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:38",dest_ip="",dest_port="",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="",dns_query_type="A",dos_attack_event="Attack Started",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="0",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="",source_ip="",source_port="",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:39",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="wwwabccom",dns_query_type="A",dos_attack_event="Attack Sampled",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="9",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="55588",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:39",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="wwwabccom",dns_query_type="A",dos_attack_event="Attack Sampled",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="17",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="51378",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:40",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="wwwabccom",dns_query_type="A",dos_attack_event="Attack Sampled",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="14",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="49439",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:40",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="wwwabccom",dns_query_type="A",dos_attack_event="Attack Sampled",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="9",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="52493",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:40",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="wwwcnncom",dns_query_type="A",dos_attack_event="Attack Sampled",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="11",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="38932",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:41",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="wwwabccom",dns_query_type="A",dos_attack_event="Attack Sampled",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="14",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="35710",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:41",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="wwwcnncom",dns_query_type="A",dos_attack_event="Attack Sampled",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="9",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="33017",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:41",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="wwwcnncom",dns_query_type="A",dos_attack_event="Attack Sampled",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="11",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="44866",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:41",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="wwwabccom",dns_query_type="A",dos_attack_event="Attack Sampled",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="18",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="57911",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:42",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="wwwabccom",dns_query_type="A",dos_attack_event="Attack Sampled",dos_attack_id="150330458",dos_attack_name="A query DOS",dos_packets_dropped="0",dos_packets_received="11",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="51545",vlan=""
