action="None",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:37",dest_ip="",dest_port="",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="",dns_query_type="PTR",dos_attack_event="Attack Started",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="0",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="",source_ip="",source_port="",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:38",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="5",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="41197",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:39",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="7",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="50001",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:39",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="4",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="55683",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:39",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="6",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="37946",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:40",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="7",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="35641",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:40",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="3",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="34214",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:40",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="3",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="37102",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:41",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="4",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="47241",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:41",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="9",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="43718",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:41",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="7",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="52258",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:42",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="6",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="41833",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:42",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="4",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="41023",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:42",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="8",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="34502",vlan=""
action="Allow",hostname="scott-bigip2.dataman.com",bigip_mgmt_ip="10.255.251.228",context_name="/Common/vipDNS",date_time="Apr 24 2018 11:50:42",dest_ip="10.59.141.20",dest_port="53",device_product="Advanced Firewall Module",device_vendor="F5",device_version="13.1.0.5.0.0.5",dns_query_name="250132181199in-addrarpa",dns_query_type="PTR",dos_attack_event="Attack Sampled",dos_attack_id="2664008884",dos_attack_name="PTR query DOS",dos_packets_dropped="0",dos_packets_received="8",errdefs_msgno="23003141",errdefs_msg_name="DNS Event",flow_id="0000000000000000",severity="4",dos_mode="Enforced",dos_src="Volumetric, Aggregated across all SrcIP's, VS-Specific attack, metric:PPS",partition_name="Common",route_domain="0",source_ip="10.255.200.26",source_port="52154",vlan=""
